Date;Prix
2002-01-25;1133.2
2002-01-02;1122.1
2002-08-02;1096.2
2002-02-15;1104.1
2002-02-22;1089.8
2002-01-03;1131.7
2002-08-03;1164.3
2002-03-15;1166.1
2002-03-22;1148.6
2002-03-29;1147.3
2002-05-04;1122.7
2002-12-04;1111.0
2002-04-19;1125.1
2002-04-26;1076.3
2002-03-05;1073.4
2002-10-05;1054.9
2002-05-17;1106.5
2002-05-24;1083.8
2002-05-31;1067.1
2002-07-06;1027.5
2002-06-14;1007.2
2002-06-21;989.14
2002-06-28;989.81
2002-05-07;989.03
2002-12-07;921.39
2002-07-19;847.76
2002-07-26;852.84
2002-02-08;864.24
2002-09-08;908.64
2002-08-16;928.77
2002-08-23;940.86
2002-08-30;916.07
2002-06-09;893.92
2002-09-13;889.81
2002-09-20;845.39
2002-09-27;827.37
2002-04-10;800.58
2002-11-10;835.32
2002-10-18;884.39
2002-10-25;897.65
2002-01-11;900.96
2002-08-11;894.74
2002-11-15;909.83
2002-11-22;930.55
2002-11-29;936.31
2002-06-12;912.23
2002-12-13;889.48
2002-12-20;895.75
2002-12-27;875.4
2003-03-01;908.59
2003-10-01;927.57
2003-01-17;901.78
2003-01-24;861.4
2003-01-31;855.7
2003-07-02;829.69
2003-02-14;834.89
2003-02-21;848.17
2003-02-28;841.15
2003-07-03;828.89
2003-03-14;833.27
2003-03-21;895.79
2003-03-28;863.5
2003-04-04;878.85
2003-11-04;868.3
2003-04-18;893.58
2003-04-25;898.81
2003-02-05;930.08
2003-09-05;933.41
2003-05-16;944.3
2003-05-23;933.22
2003-05-30;963.59
2003-06-06;987.76
2003-06-13;988.61
2003-06-20;995.69
2003-06-27;976.22
2003-04-07;985.7
2003-11-07;998.14
2003-07-18;993.32
2003-07-25;998.68
2003-01-08;980.15
2003-08-08;977.59
2003-08-15;990.67
2003-08-22;993.06
2003-08-29;1008.0
2003-05-09;1021.3
2003-12-09;1018.6
2003-09-19;1036.3
2003-09-26;996.85
2003-03-10;1029.8
2003-10-10;1038.0
2003-10-17;1039.3
2003-10-24;1028.9
2003-10-31;1050.7
2003-07-11;1053.2
2003-11-14;1050.3
2003-11-21;1035.2
2003-11-28;1058.2
2003-05-12;1061.5
2003-12-12;1074.1
2003-12-19;1088.6
2003-12-26;1095.8
2004-02-01;1108.4
2004-09-01;1121.8
2004-01-16;1139.8
2004-01-23;1141.5
2004-01-30;1131.1
2004-06-02;1142.7
2004-02-13;1145.8
2004-02-20;1144.1
2004-02-27;1144.9
2004-05-03;1156.8
2004-12-03;1120.5
2004-03-19;1109.7
2004-03-26;1108.0
2004-02-04;1141.8
2004-09-04;1139.3
2004-04-16;1134.6
2004-04-23;1140.6
2004-04-30;1107.3
2004-07-05;1098.7
2004-05-14;1095.7
2004-05-21;1093.5
2004-05-28;1120.6
2004-04-06;1122.5
2004-11-06;1136.4
2004-06-18;1135.0
2004-06-25;1134.4
2004-02-07;1125.3
2004-09-07;1112.8
2004-07-16;1101.3
2004-07-23;1086.2
2004-07-30;1101.7
2004-06-08;1063.9
2004-08-13;1064.8
2004-08-20;1098.3
2004-08-27;1107.7
2004-03-09;1113.6
2004-10-09;1123.9
